70031152,12:10:00,12:10:00,7470965,2,,,,
70031152,12:10:00,12:10:00,7443535,3,,,,
70031152,12:11:00,12:11:00,7443537,4,,,,
70031152,12:12:00,12:12:00,7443539,5,,,,
70031152,12:13:00,12:13:00,7443540,6,,,,
70031152,12:14:00,12:14:00,7443541,7,,,,
70031152,12:16:00,12:16:00,7470966,8,,,,
70031152,12:17:00,12:17:00,7443543,9,,,,
70031152,12:18:00,12:18:00,7443544,10,,,,
70031152,12:19:00,12:19:00,7443374,11,,,,
70031152,12:21:00,12:21:00,7443375,12,,,,
70031152,12:23:00,12:23:00,7400099,13,,,,
70031152,12:26:00,12:26:00,7443357,14,,,,
70031152,12:27:00,12:27:00,7443377,15,,,,
70031152,12:29:00,12:29:00,7443378,16,,,,
70031152,12:31:00,12:31:00,7443546,17,,,,
70031152,12:31:00,12:31:00,7443547,18,,,,
70031152,12:32:00,12:32:00,7443548,19,,,,
70031152,12:34:00,12:34:00,7443518,20,,,,
70031152,12:36:00,12:36:00,7443519,21,,,,
70031152,12:37:00,12:37:00,7443520,22,,,,
70031152,12:38:00,12:38:00,7443521,23,,,,
70031152,12:40:00,12:40:00,7412557,24,,,,
70031152,12:41:00,12:41:00,7443524,25,,,,
70031152,12:43:00,12:43:00,7443318,26,,,,
70031152,12:44:00,12:44:00,7443908,27,,,,
70031152,12:48:00,12:48:00,7443317,28,,,,
70031152,12:50:00,12:50:00,7424416,29,,,,
70031152,12:53:00,12:53:00,7412568,30,,,,
70031153,12:23:00,12:23:00,7424556,1,,,,
70031153,12:25:00,12:25:00,7470965,2,,,,
70031153,12:25:00,12:25:00,7443535,3,,,,
70031153,12:26:00,12:26:00,7443537,4,,,,
70031153,12:27:00,12:27:00,7443539,5,,,,
70031153,12:28:00,12:28:00,7443540,6,,,,
70031153,12:29:00,12:29:00,7443541,7,,,,
70031153,12:31:00,12:31:00,7470966,8,,,,
70031153,12:32:00,12:32:00,7443543,9,,,,
70031153,12:33:00,12:33:00,7443544,10,,,,
70031153,12:34:00,12:34:00,7443374,11,,,,
70031153,12:36:00,12:36:00,7443375,12,,,,
70031153,12:38:00,12:38:00,7400099,13,,,,
70031153,12:41:00,12:41:00,7443357,14,,,,
70031153,12:42:00,12:42:00,7443377,15,,,,
70031153,12:44:00,12:44:00,7443378,16,,,,
70031153,12:46:00,12:46:00,7443546,17,,,,
70031153,12:46:00,12:46:00,7443547,18,,,,
70031153,12:47:00,12:47:00,7443548,19,,,,
70031153,12:49:00,12:49:00,7443518,20,,,,
70031153,12:51:00,12:51:00,7443519,21,,,,
70031153,12:52:00,12:52:00,7443520,22,,,,
70031153,12:53:00,12:53:00,7443521,23,,,,
70031153,12:55:00,12:55:00,7412557,24,,,,
70031153,12:56:00,12:56:00,7443524,25,,,,
70031153,12:58:00,12:58:00,7443318,26,,,,
70031153,12:59:00,12:59:00,7443908,27,,,,
70031153,13:03:00,13:03:00,7443317,28,,,,
70031153,13:05:00,13:05:00,7424416,29,,,,
70031153,13:08:00,13:08:00,7412568,30,,,,
70031158,18:11:00,18:11:00,7424556,1,,,,
70031158,18:12:00,18:12:00,7470965,2,,,,
70031158,18:13:00,18:13:00,7443535,3,,,,
70031158,18:14:00,18:14:00,7443537,4,,,,
70031158,18:15:00,18:15:00,7443539,5,,,,
70031158,18:16:00,18:16:00,7443540,6,,,,
70031158,18:17:00,18:17:00,7443541,7,,,,
70031158,18:18:00,18:18:00,7470966,8,,,,
70031158,18:19:00,18:19:00,7443543,9,,,,
70031158,18:20:00,18:20:00,7443544,10,,,,
70031158,18:21:00,18:21:00,7443374,11,,,,
70031158,18:22:00,18:22:00,7443375,12,,,,
70031158,18:24:00,18:24:00,7400099,13,,,,
70031158,18:27:00,18:30:00,7443357,14,,,,
70031158,18:31:00,18:31:00,7443377,15,,,,
